,Unnamed: 0,ID,NAME,State,DOR,GSTIN,Status,ADDRESS
0,0,SWIGGY_1,AARIGA STRATEGY CONSULTANTS PRIVATE LIMITED,Haryana,15-Jun-21,06AATCA3245P1Z3,Active,"NO.303, FIRST FLOOR, SECTOR 29, GURGAON, Gurugram, Haryana, 122009"
1,1,SWIGGY_2,AARIGA STRATEGY CONSULTANTS PRIVATE LIMITED,UP,22-May-21,09AATCA3245P1ZX,Active,"NO. F-1,F-2,F-3,F-11,F-13, FIRST FLOOR, NO.156-A BLOCK-B, NEW OKHLA INDUSTRAIL DEVELOPMENT AREA, SECTOR-46, NOIDA, Gautam Buddha Nagar, Uttar Pradesh, 201303"
2,2,SWIGGY_3,AARIGA STRATEGY CONSULTANTS PRIVATE LIMITED,Delhi,01-Apr-21,07AATCA3245P1Z1,Active,"RZ L 23, 84 22, Mahavir Enclave, Palam, South West Delhi, Delhi, 110045"
3,3,SWIGGY_4,AURORA VENTURES,Karnataka,16-Jan-19,29ABNFA6374R1ZD,Active,"380c, CMC KHATA NO 641,, CMC PROPERTY VIJAYA BANK COLONY, BILEKEHALLI BEGUR HOBLI, Bengaluru Urban, Karnataka, 560076"
4,4,SWIGGY_5,B & H ENTERTAINMENT (I) PRIVATE LIMITED,Maharashtra,01-Jul-17,27AAGCB1003M1ZX,Active,"121, BLUE ROSE IND. CO-OP SOCIETY, OPP MAGATHANE BUS DEPOT, BORIVALI WEST, Mumbai Suburban, Maharashtra, 400066"
5,5,SWIGGY_6,B & H ENTERTAINMENT (I) PRIVATE LIMITED,Indore,12-Nov-21,23AAGCB1003M1Z5,Active,"Unit No.G1 G2 G3, Ground Floor, Gravity Mall, Plot No.27 Indore Development Authority, Mechanic Nagar, Indore, Indore, Madhya Pradesh, 452011"
6,6,SWIGGY_7,B & H ENTERTAINMENT (I) PRIVATE LIMITED,Gujarat,29-Dec-21,24AAGCB1003M1Z3,Active,"Unit No.102 and 103, Sigma Ceejay Legacy, Moje Kocharab,Taluka, Ahemdabad, Ahmedabad, Gujarat, 380015"
7,7,SWIGGY_8,B & H ENTERTAINMENT (I) PRIVATE LIMITED,Goa,26-Nov-21,30AAGCB1003M1ZA,Active,"House No. 427/1 SY No.179/6, Almeda Wado Village, Parra Bardez, North Goa, Goa, 403510"
8,8,SWIGGY_9,BHAGWATI STORES PRIVATE LIMITED,Maharashtra,17-Feb-22,27AAKCB4177A1ZT,Active,"CTS No.508, Shivam Building, Carter road no 9, Opp ST Bus Depot, Borivali East, Mumbai, Maharashtra, 400066"
9,9,SWIGGY_10,CITIUS RETAIL PRIVATE LIMITED,Tamil Nadu,22-Jun-21,33AAJCC4173E1ZW,Active,"2/279, Pillayar Koli Street, Thoraipakkam, Chennai, Tamil Nadu, 600097"
10,10,SWIGGY_11,CITIUS RETAIL PRIVATE LIMITED - HYD,Telangana,12-May-21,36AAJCC4173E1ZQ,Active,"UNIT NO.1, GROUND FLOOR, ANITHA REDDY HEIGHTS, INDRA NAGAR, OPP UCO BANK, GACHIBOWLI, Rangareddy, Telangana, 500032"
11,11,SWIGGY_12,CLOUDKART VENTURES PRIVATE LIMITED,Telangana,28-Feb-22,36AAKCC0275A1Z2,Active,"Office No. 311, 3-6-365, CoKarma, Bashir Bagh Road, Hyderabad, Hyderabad, Telangana, 500029"
12,12,SWIGGY_13,CLOUDSTORE,Maharashtra,12-Mar-22,27AAKCC0172C1Z1,Active,"Unit No.101/102, A Wing, Technocity IT Park, Plot No.X-4/1 Plot No.X-4/2, Shil Phata Mahape Road, Navi Mumbai, Thane, Maharashtra, 400710"
13,13,SWIGGY_14,CLOUDSTORE,Gujarat,30-May-22,24AAKCC0172C1Z7,Active,"Block No. 96, Taluka Sanand, Changodar GIDC, Ahmedabad, Gujarat, 382213"
14,14,SWIGGY_15,FOCLO,Maharashtra,11-Mar-22,27AAECF3768R1ZT,Active,"Plot No.212,213,214,215, Gymkhana Road Opp. Sagarli Ganesh Mandir, Dombivali East, Mumbai, Maharashtra, 421203"
15,15,SWIGGY_16,FOCLO,Telangana,18-Dec-21,36AAECF3768R1ZU,Active,"2nd Floor, Plot 82,, Brundhavan Colony, Gollaguda,, Subhash Nagar, Military Diary Farm Road, Secunderabad, Rangareddy, Telangana, 500015"
16,16,SWIGGY_17,GENUINO MARKETING PRIVATE LIMITED,Tamil Nadu,22-Oct-21,33AAJCG3245M1ZG,Active,"Door No.398/280, Mount Road, Teynampet, Chennai, Tamil Nadu, 600018"
17,17,SWIGGY_18,GENUINO MARKETING PRIVATE LIMITED,Telangana,30-Oct-21,36AAJCG3245M1ZA,Active,"H NO 6-3-252/B/A, 3RD FLOOR, ERRUM MANZIL, HYDERABAD, Hyderabad, Telangana, 500082"
18,18,SWIGGY_19,GET MAX GLOBE PRIVATE LIMITED,Andhra Pradesh,22-Oct-21,37AAJCG0506B1Z5,Active,"33-14-89, 90 and 91, ALLIPURAM MAIN ROAD, VISAKHAPATNAM, Visakhapatnam, Andhra Pradesh, 530004"
19,19,SWIGGY_20,GET MAX GLOBE PRIVATE LIMITED,Telangana,21-Oct-21,36AAJCG0506B1Z7,Active,"House No. 39-186,187/IV/3,, First Floor, Shivams Tejas, Sy No. 218/1/2, Air Force Officers Colony, 5th Avenue Road, Vayupuri, Sainikpuri, Medchal Malkajgiri, Telangana, 500094"
20,20,SWIGGY_21,GET MAX GLOBE PRIVATE LIMITED,Karnataka,01-Oct-21,29AAJCG0506B1Z2,Active,"No. 110/5, Second Floor, Krishna Complex, PID NO. 48-31-110/5-1, Lalbagh Road, Bangalore, Bengaluru Urban, Karnataka, 560027"
21,21,SWIGGY_22,GET MAX GLOBE PRIVATE LIMITED,West Bengal,01-Jul-21,19AAJCG0506B1Z3,Active,"1207,GODREJ WATERSIDE, 12TH FLOOR, TOWER-II, DP-5,DP BLOCK, SECTOR V,BIDHANNAGAR, Kolkata, West Bengal, 700091"
22,22,SWIGGY_23,GET MAX GLOBE PRIVATE LIMITED,RAJASTHAN,08-Aug-21,08AAJCG0506B1Z6,Active,"Plot No 415 and 415A, Surya Nagar Scheme, Unit no. 10, Gopal Pura Bye Pass, Jaipur, Jaipur, Rajasthan, 302019"
23,23,SWIGGY_24,GREEN MANIA,Karnataka,16-Nov-21,29AAJCG3465F1ZE,Active,"No.107, Gorvigere Village, Kannamangala Post, Bengaluru Urban, Karnataka, 560067"
24,24,SWIGGY_25,GROWREENHERBS MODERN PVT LTD ,Karnataka,19-Feb-22,29AAJCG5616Q1ZU,Active,"Flat No F8,1st Floor,PV Paradise,NS Road, 2nd Cross,Near K R Puram Polic, Flat No F8,1st Floor,PV Paradise,NS Road, Bengaluru Urban, Karnataka, 560036"
25,25,SWIGGY_26,JUPITER,Tamil Nadu,30-Mar-22,33AAFCJ5481L1Z9,Active,"No. 91 & 92, 5th Floor, Gee Gee Crystal, Dr Radhakrishnan Street, Chennai, Chennai, Tamil Nadu, 600004"
26,26,SWIGGY_27,KWICKBOX,Telangana,05-Mar-22,36AAJCK2497B1ZH,Active,"H. No. 7-1-89 and 90/MIG/FF, First Floor, Anandi Heights, -, Nallagandla Huda Residential Complex, Nallagandla Village, Rangareddy, Telangana, 500019"
27,27,SWIGGY_28,LA POLO ,Haryana,21-Nov-19,06AADCL2698D1ZI,Active,"Plot No. 559, 1st Floor, Udyog Vihar, Phase-V, Gurugram, Haryana, 122016"
28,28,SWIGGY_29,LA POLO ,Delhi,20-Sep-17,07AADCL2698D1ZG,Active,"F-301, Second Floor,L/S, Lado Sarai, New Delhi,, South Delhi, Delhi, 110030"
29,29,SWIGGY_30,MAX REACH STORES PRIVATE LIMITED,Delhi,08-Oct-21,07AAPCM0048N1Z2,Active,"A 150 AND 151, 1ST FLOOR, ROAD NO. 4, STREET NO. 9, MAHIPALPUR EXTENTION, South West Delhi, Delhi, 110037"
30,30,SWIGGY_31,MAX REACH STORES PRIVATE LIMITED,Punjab,12-Nov-21,03AAPCM0048N1ZA,Active,"B-XX3369, Sandhu Tower-II, Gurudev Nagar, Ludhiana, Punjab, 141001"
