vendor_id,vendor_name,field_name,field_shape,bottom,left,right,top,doc_id,submitted_on,status,submitted_On
27AAACK5755B1ZQ,KINGS DISTRIBUTORS PRIVATE LIMITED,invoiceDate,dd/dd/dddd,302.0,1826.0,1989.0,258.0,07a6aa23-5da5-4774-9617-bb83a90a79a2,,1,
27AAACK5755B1ZQ,KINGS DISTRIBUTORS PRIVATE LIMITED,invoiceDate,dd/dd/dddd,304.0,1828.0,1989.0,258.0,092296be-54c6-4353-93f6-6a8064b5d598,,1,
27AAACK5755B1ZQ,KINGS DISTRIBUTORS PRIVATE LIMITED,invoiceDate,dd/dd/dddd,302.0,1829.0,1986.0,258.0,6c145318-6a0f-4e57-a3d5-144e736f9197,,1,
27AAACK5755B1ZQ,KINGS DISTRIBUTORS PRIVATE LIMITED,invoiceDate,dd/dd/dddd,302.0,1826.0,1989.0,258.0,07a6aa23-5da5-4774-9617-bb83a90a79a2,,1,
27AAACP4156B1ZS,PIDILITE INDUSTRIES LIMITED,invoiceDate,dd/dd/dddd,289.0,1047.0,1233.0,253.0,c7079cae-593a-4c6e-9843-f42d5f8cffd4,,1,
33ABECS7694E1Z3,SYMBIATE VENTURES PRIVATE LIMITED,invoiceDate,dd/dd/dddd,713.0,724.0,914.0,668.0,9aa3bc95-5686-4f1a-878f-c891ce5e856e,,1,
33ABECS7694E1Z3,SYMBIATE VENTURES PRIVATE LIMITED,invoiceNumber,dd-dd/dddd,665.0,726.0,904.0,623.0,9aa3bc95-5686-4f1a-878f-c891ce5e856e,,1,
33ABECS7694E1Z3,SYMBIATE VENTURES PRIVATE LIMITED,invoiceDate,dd/dd/dddd,713.0,724.0,914.0,668.0,9aa3bc95-5686-4f1a-878f-c891ce5e856e,,1,
27AAUFP8143M1ZC,PRASANA FOODS,invoiceNumber,XXddddddd,374.0,1815.0,1996.0,334.0,22eb231b-a67d-46ef-bc23-cc4e57931f28,,1,
27AAUFP8143M1ZC,PRASANA FOODS,invoiceDate,dd/dd/dddd,374.0,2176.0,2353.0,334.0,22eb231b-a67d-46ef-bc23-cc4e57931f28,,1,
27BHNPB5377A1ZG,SURYAVANSHI ENTERPRISES,invoiceNumber,XXddddddddd,401.0,711.0,936.0,370.0,d0d5d6ee-3f71-4c2c-a4f7-456d7492e1e4,,1,
27BHNPB5377A1ZG,SURYAVANSHI ENTERPRISES,invoiceDate,dd/dd/dddd,453.0,715.0,900.0,422.0,d0d5d6ee-3f71-4c2c-a4f7-456d7492e1e4,,1,
27AADPH0509G1Z7,SHASHI TRADING CORPORATION,invoiceNumber,Xddddddddd,172.0,2098.0,2334.0,128.0,6210cc2e-25c4-4b60-a901-8231afa33911,,1,
27AADPH0509G1Z7,SHASHI TRADING CORPORATION,invoiceDate,dd/dd/dddd,218.0,2121.0,2331.0,174.0,6210cc2e-25c4-4b60-a901-8231afa33911,,1,
27BHLPM2626M1ZW,GIRIRAJ ENTERPRISES,invoiceNumber,XXX-XXX-ddd,550.0,714.0,922.0,509.0,46a2e930-f62a-4837-9d2d-ebdf2e9f35e4,,1,
27BHLPM2626M1ZW,GIRIRAJ ENTERPRISES,invoiceDate,dd/dd/dddd,598.0,716.0,904.0,554.0,46a2e930-f62a-4837-9d2d-ebdf2e9f35e4,,1,
27AAWFK7350B1Z3,KINGS COLD STORAGE,invoiceNumber,XXX/ddddd,520.0,1763.0,1962.0,476.0,154ab776-6a90-4f7f-b0a3-e3000de16f86,,1,
27AAWFK7350B1Z3,KINGS COLD STORAGE,invoiceDate,dd/dd/dddd,562.0,1892.0,1980.0,525.0,154ab776-6a90-4f7f-b0a3-e3000de16f86,,1,
27AAACP4156B1ZS,PIDILITE INDUSTRIES LIMITED,invoiceNumber,dddddddddd,236.0,1047.0,1258.0,194.0,c7079cae-593a-4c6e-9843-f42d5f8cffd4,,1,
