VENDOR_NAME,VENDOR_ID,TABLE_NAME,HEADER,FOOTER,COLUMN_NAME,COLUMN_HEADER,COLUMN_NO,ANCHOR_COLUMN,ANCHOR_COLUMN_ALIGNMENT,COLUMN_TYPE,TABLE_HEADER_ALIGNMENT,TABLE_VALUE_ALIGNMENT,HEADER_SHIFT_UNITS
VELANKANI_1815,VELANKANI_1815,LI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NONE,NONE,NONE
VELANKANI_1815,VELANKANI_1815,LI,Not Applicable,SGST,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NONE,NONE,NONE
VELANKANI_1815,VELANKANI_1815,LI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NONE,Not Applicable,NONE,NONE,NONE
VELANKANI_1815,VELANKANI_1815,LI,Not Applicable,Not Applicable,LI_itemDescription,Description of Goods,1,Not Applicable,Not Applicable,MULTI,NONE,NONE,NONE
VELANKANI_1815,VELANKANI_1815,LI,Not Applicable,Not Applicable,LI_HSNCode,HSN/SAC,2,Not Applicable,Not Applicable,Not Applicable,NONE,NONE,NONE
VELANKANI_1815,VELANKANI_1815,LI,Not Applicable,Not Applicable,LI_itemQuantity,Quantity,3,Not Applicable,Not Applicable,Not Applicable,NONE,NONE,NONE
VELANKANI_1815,VELANKANI_1815,LI,Not Applicable,Not Applicable,LI_unitPrice,Rate,4,Not Applicable,Not Applicable,Not Applicable,NONE,NONE,NONE
VELANKANI_1815,VELANKANI_1815,LI,Not Applicable,Not Applicable,LI_itemValue,Amount,6,YES,Not Applicable,Not Applicable,NONE,NONE,NONE
VELANKANI_306,VELANKANI_306,LI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NONE,NONE,NONE
VELANKANI_306,VELANKANI_306,LI,Not Applicable,Sub Total,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NONE,NONE,NONE
VELANKANI_306,VELANKANI_306,LI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NONE,Not Applicable,NONE,NONE,NONE
VELANKANI_306,VELANKANI_306,LI,Not Applicable,Not Applicable,LI_itemDescription,Description of Goods,1,YES,Not Applicable,MULTI,NONE,NONE,NONE
VELANKANI_306,VELANKANI_306,LI,Not Applicable,Not Applicable,LI_HSNCode,HSN,2,Not Applicable,Not Applicable,Not Applicable,NONE,NONE,NONE
VELANKANI_306,VELANKANI_306,LI,Not Applicable,Not Applicable,MRP,MRP,3,Not Applicable,Not Applicable,Not Applicable,NONE,NONE,NONE
VELANKANI_306,VELANKANI_306,LI,Not Applicable,Not Applicable,LI_itemCode,Batch No,4,Not Applicable,Not Applicable,Not Applicable,NONE,NONE,NONE
VELANKANI_306,VELANKANI_306,LI,Not Applicable,Not Applicable,MfgDate,Mfg Date,5,Not Applicable,Not Applicable,Not Applicable,NONE,NONE,NONE
VELANKANI_306,VELANKANI_306,LI,Not Applicable,Not Applicable,UOM,UOM,6,Not Applicable,Not Applicable,Not Applicable,NONE,NONE,NONE
VELANKANI_306,VELANKANI_306,LI,Not Applicable,Not Applicable,LI_itemValue,Taxable,7,Not Applicable,Not Applicable,Not Applicable,NONE,NONE,NONE
VELANKANI_306,VELANKANI_306,LI,Not Applicable,Not Applicable,LI_IGSTAmount,IGST,8,Not Applicable,Not Applicable,Not Applicable,NONE,NONE,NONE
VELANKANI_306,VELANKANI_306,LI,Not Applicable,Not Applicable,LI_itemValue,Total,9,Not Applicable,Not Applicable,Not Applicable,NONE,NONE,NONE
VELANKANI_306,VELANKANI_306,LI,Not Applicable,Not Applicable,Cess,Cess,10,Not Applicable,Not Applicable,Not Applicable,NONE,NONE,NONE
ARVIND SALES AGENCY,PERNOD_112,LI,M/S PERNOD RICARD PVT.LTD,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NONE,NONE,NONE
ARVIND SALES AGENCY,PERNOD_112,LI,Not Applicable,for arvind sales agencies,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NONE,NONE,NONE
ARVIND SALES AGENCY,PERNOD_112,LI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,TOP,Not Applicable,NONE,NONE,NONE
ARVIND SALES AGENCY,PERNOD_112,LI,Not Applicable,Not Applicable,LI_HSNCode,HSN,1,YES,Not Applicable,Not Applicable,NONE,NONE,NONE
ARVIND SALES AGENCY,PERNOD_112,LI,Not Applicable,Not Applicable,LI_itemDescription,Poducts,2,Not Applicable,Not Applicable,MULTI,MIDDLE,LEFT,1
ARVIND SALES AGENCY,PERNOD_112,LI,Not Applicable,Not Applicable,LI_taxRate,TAX%,3,Not Applicable,Not Applicable,Not Applicable,NONE,NONE,NONE
ARVIND SALES AGENCY,PERNOD_112,LI,Not Applicable,Not Applicable,LI_itemCode,Batch,4,Not Applicable,Not Applicable,Not Applicable,NONE,NONE,NONE
