VENDOR_ID,CLIENT,VENDOR_GSTIN,VENDOR_NAME,IDENTIFIER_TEXT,DOCUMENT_TEXT,MATCH_SCORE
SWIGGY_1,SWIGGY,27AAHCA3591J1ZE,ALKA LIFESTYLES PRIVATE LIMITED,ALKA LIFESTYLES PRIVATE LIMITED 27AAHCA3591J1ZE ALKA LIFESTYLES PRIVATE LIMITED 27AAHCA3591J1ZE,ALKA LIFESTYLES PRIVATE LIMITED 27AAHCA3591J1ZE ALKA LIFESTYLES PRIVATE LIMITED 27AAHCA3591J1ZE,1
SWIGGY_2,SWIGGY,27AAGCK6297C1ZB,KAVV FOODS PRIVATE LIMITED,KAVV FOODS PRIVATE LIMITED 27AAGCK6297C1ZB KAVV FOODS PRIVATE LIMITED 27AAGCK6297C1ZB,KAVV FOODS PRIVATE LIMITED 27AAGCK6297C1ZB KAVV FOODS PRIVATE LIMITED 27AAGCK6297C1ZB,1
SWIGGY_3,SWIGGY,27AAGCK6551R1ZR,KRISKA GENESIS INGREDIENTS PRIVATE LIMITED,KRISKA GENESIS INGREDIENTS PRIVATE LIMITED 27AAGCK6551R1ZR KRISKA GENESIS INGREDIENTS PRIVATE LIMITED 27AAGCK6551R1ZR,KRISKA GENESIS INGREDIENTS PRIVATE LIMITED 27AAGCK6551R1ZR KRISKA GENESIS INGREDIENTS PRIVATE LIMITED 27AAGCK6551R1ZR,1
SWIGGY_4,SWIGGY,27AAGCP3462J1Z6,PRO BODY BALANCE PRIVATE LIMITED,PRO BODY BALANCE PRIVATE LIMITED 27AAGCP3462J1Z6 PRO BODY BALANCE PRIVATE LIMITED 27AAGCP3462J1Z6,PRO BODY BALANCE PRIVATE LIMITED 27AAGCP3462J1Z6 PRO BODY BALANCE PRIVATE LIMITED 27AAGCP3462J1Z6,1
SWIGGY_5,SWIGGY,27AAGCR6808Q1ZM,RAKYAN BEVERAGES PRIVATE LIMITED,RAKYAN BEVERAGES PRIVATE LIMITED 27AAGCR6808Q1ZM RAKYAN BEVERAGES PRIVATE LIMITED 27AAGCR6808Q1ZM,RAKYAN BEVERAGES PRIVATE LIMITED 27AAGCR6808Q1ZM RAKYAN BEVERAGES PRIVATE LIMITED 27AAGCR6808Q1ZM,1
SWIGGY_6,SWIGGY,27AAGCS6673N1ZK,SHIVALIK INDIA ALCO PVT LTD,SHIVALIK INDIA ALCO PVT LTD 27AAGCS6673N1ZK SHIVALIK INDIA ALCO PVT LTD 27AAGCS6673N1ZK,SHIVALIK INDIA ALCO PVT LTD 27AAGCS6673N1ZK SHIVALIK INDIA ALCO PVT LTD 27AAGCS6673N1ZK,1
SWIGGY_7,SWIGGY,27AAHCD5904A1Z1,DISTRICO INDIA PRIVATE LIMITED,DISTRICO INDIA PRIVATE LIMITED 27AAHCD5904A1Z1 DISTRICO INDIA PRIVATE LIMITED 27AAHCD5904A1Z1,DISTRICO INDIA PRIVATE LIMITED 27AAHCD5904A1Z1 DISTRICO INDIA PRIVATE LIMITED 27AAHCD5904A1Z1,1
SWIGGY_8,SWIGGY,27AAHCG7847D1ZE,GREEN LIGHT FOODS PRIVATE LIMITED,GREEN LIGHT FOODS PRIVATE LIMITED 27AAHCG7847D1ZE GREEN LIGHT FOODS PRIVATE LIMITED 27AAHCG7847D1ZE,GREEN LIGHT FOODS PRIVATE LIMITED 27AAHCG7847D1ZE GREEN LIGHT FOODS PRIVATE LIMITED 27AAHCG7847D1ZE,1
SWIGGY_9,SWIGGY,27AAHCG9136F1ZG,GLOBALVALUE FOOD AND CONDIMENTS PRIVATE LIMITED,GLOBALVALUE FOOD AND CONDIMENTS PRIVATE LIMITED 27AAHCG9136F1ZG GLOBALVALUE FOOD AND CONDIMENTS PRIVATE LIMITED 27AAHCG9136F1ZG,GLOBALVALUE FOOD AND CONDIMENTS PRIVATE LIMITED 27AAHCG9136F1ZG GLOBALVALUE FOOD AND CONDIMENTS PRIVATE LIMITED 27AAHCG9136F1ZG,1
SWIGGY_10,SWIGGY,27AAHCN1219L1ZC,NAVJYOT ENTERPRISES PRIVATE LIMITED,NAVJYOT ENTERPRISES PRIVATE LIMITED 27AAHCN1219L1ZC NAVJYOT ENTERPRISES PRIVATE LIMITED 27AAHCN1219L1ZC,NAVJYOT ENTERPRISES PRIVATE LIMITED 27AAHCN1219L1ZC NAVJYOT ENTERPRISES PRIVATE LIMITED 27AAHCN1219L1ZC,1
