VENDOR_NAME,VENDOR_ID,VENDOR_ID_COPY,Custom Field Name,Custom Field Label,Custom Field Label Position,Custom Field Shape,Custom Field Location,Top Delimiter,Bottom Delimiter,Default Value,Horizontal Anchor,Vertical Anchor,TOP,BOTTOM,LEFT,RIGHT,INCLUDE_TOP,INCLUDE_BOTTOM,PAGE_IDENTIFIER
Sample template: simple left label,ID_1,ID_1,poNumber,Buyers's Order No,Above,d,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Sample template: Anchor column,ID_2,ID_2,SGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,dddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,TOTAL 19600,S/UGST,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Sample template: simple above label,ID_3,ID_3,totalAmount,Total Order Value,Left,ddddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
sample template: Multi token,ID_4,ID_4,poNumber,MULTI_TOKEN,MULTI_TOKEN,MULTI_TOKEN,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,DATED:27/07/19,INVOICE NO,CHANDIGARH,STATE,NO,NO,Not Applicable
SWIGGY,,SWIGGY_10011,invoiceDate,DATE,Left,dd Xxx dddd,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10012,IGSTAmount,TOTAL GST,Left,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10013,totalAmount,TOTAL VALUE OF INVOICE,Left,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10014,invoiceNumber,Invoice No,Above,XX/dd-dd/dddd,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10015,totalAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"dd,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10016,subTotal,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"dd,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,Taxable Value,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10017,subTotal,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"dd,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,Taxable Value,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10018,totalGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"dd,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,Tax Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10019,IGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"dd,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,Integrated Tax,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10020,invoiceNumber,Invoice No,Above,dddddddd,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10021,invoiceNumber,Invoice No,Above,XXXXXddddddddd,NONE,Not Applicable,Delivery Note,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10022,subTotal,Total,Left,"d,ddd.dd",BOTTOM RIGHT,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10023,CGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,dddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,TOTAL,Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10024,SGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,dddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,TOTAL,Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10025,subTotal,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,dddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,Total,Taxable Value,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10026,totalAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"dd,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Net Amount,Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
